Date;WIG;Superfund SFIO Green PLN
29-Dec-2017;63.746,20;269,047713
31-Jan-2018;66.048,17;299,478187
28/2/2018;61.703,18;264,693667
30/3/2018;58.377,42;262,342586
30-Apr-2018;59.932,46;256,79005
31/5/2018;57.282,73;236,563039
29/6/2018;55.954,44;225,192658
31/7/2018;59.964,47;232,049281
31-Aug-2018;60.201,08;229,654739
28/9/2018;58.974,76;217,749056
31/10/2018;55.312,71;185,724017
30/11/2018;58.203,39;188,973001
31-Dec-2018;57.690,50;189,71176
31-Jan-2019;60.367,42;199,295341
28/2/2019;59.903,70;202,446726
29/3/2019;59.668,03;203,828387
30-Apr-2019;60.145,50;212,89421
31/5/2019;57.909,95;203,583535
28/6/2019;60.187,43;215,907036
31/7/2019;59.670,60;215,310082
30-Aug-2019;56.739,53;219,783205
30/9/2019;57.320,30;205,91502
31/10/2019;57.783,02;213,888196
29/11/2019;57.502,14;215,837277
31-Dec-2019;57.832,88;225,732307
31-Jan-2020;56.681,27;227,993504
28/2/2020;49.276,54;223,022737
31/3/2020;41.624,62;219,828326
30-Apr-2020;46.117,00;224,799394
29/5/2020;48.127,64;225,487658
30/6/2020;49.569,17;220,611325
31/7/2020;50.468,16;247,209244
31-Aug-2020;51.629,45;249,357593
30/9/2020;49.411,53;220,237303
30/10/2020;44.097,98;207,05709
30/11/2020;52.639,45;221,662997
31-Dec-2020;57.025,84;224,640594
29-Jan-2021;56.978,68;230,831185
26/2/2021;56.970,30;248,311238
31/3/2021;58.081,50;229,781889
30-Apr-2021;60.810,55;244,823203
31/5/2021;66.284,71;257,574808
30/6/2021;66.067,21;242,830682
30/7/2021;67.637,95;246,64606
31-Aug-2021;70.930,15;243,524699
30/9/2021;70.340,86;231,742834
29/10/2021;73.586,32;238,766914
30/11/2021;67.814,89;217,125023
31-Dec-2021;69.296,26;224,814973
